section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Which statement about driving speed is correct?,"a:As your speed increases, your following distance should increase and the chance of a fatality in a crash increases.,b:Increasing speed reduces stopping distance.,c:Speed has no effect on crash severity.",a,Higher speeds increase stopping distances and the severity of crashes; therefore you should increase following distance as speed increases.,easy
2,Traffic Laws & Rules of the Road,"If you are following a school bus or a tank truck carrying flammable liquids, what precaution should you take at railroad crossings?","a:Pass the vehicle on the right if you are in a hurry.,b:Be prepared to stop at all railroad crossings.,c:Assume the vehicle will always follow the speed limit.",b,School buses and tank trucks carrying flammable liquids must stop at all railroad tracks before crossing. Always be prepared to stop when following these vehicles.,easy
2,Traffic Laws & Rules of the Road,"When exiting an alley or driveway across a sidewalk, what should you do with regard to pedestrians?","a:Stop before entering the sidewalk area and yield to pedestrians.,b:Expect pedestrians to yield to you.,c:Stop only if pedestrians are in the sidewalk.",a,"When leaving a driveway or alley, stop before entering the sidewalk area and yield to any pedestrians and traffic.",medium
5,Driving in Special Conditions,When is it necessary to use your low-beam headlights?,"a:In fog.,b:On a lighted street.,c:On a freeway.",a,"Use low beam headlights in fog, rain, snow, or mist because high beams reflect off precipitation and can reduce visibility.",easy
4,Safe & Defensive Driving Practices,How can you help keep the driver behind you at a safe following distance?,"a:Maintain a steady speed and signal your intentions in advance.,b:Drive 10 mph faster than the car behind you.,c:Brake suddenly to create distance.,d:Tailgate the car ahead to discourage them from following.",a,Keeping a steady speed and signaling early helps the driver behind judge a safe following distance and react appropriately.,easy
2,Traffic Laws & Rules of the Road,"If the center of the roadway has one solid yellow line and one broken yellow line with the broken line next to your lane, what does that mean?","a:You are in a passing zone and may pass other vehicles on the left if no oncoming traffic is present.,b:You are not allowed to pass in this area.,c:You are allowed only to make right turns in this area.",a,"When the broken yellow line is next to your lane, passing is permitted from your lane when it is safe and clear of oncoming traffic.",easy
2,Traffic Laws & Rules of the Road,"If another vehicle is passing you, how should you respond?","a:Maintain a steady speed and allow the other vehicle to pass safely.,b:Brake hard to prevent them from passing.,c:Speed up to block the pass.",a,"When being passed, maintain your speed or slow slightly if needed to allow the vehicle to complete the pass safely; do not speed up.",easy
6,"Alcohol, Drugs & Impaired Driving","If you are taking a non-prescription drug, what should you do before driving?","a:Read the labels on the drug for warnings about driving.,b:Drink alcohol to counteract drowsiness.,c:Continue to drive regardless of any warnings.",a,Many over-the-counter medications can impair driving. Read labels and consult a doctor or pharmacist if you are unsure about driving while using the medicine.,easy
6,"Alcohol, Drugs & Impaired Driving",Which is true about driving while taking medications?,"a:Most cold medications can make a person drowsy.,b:Over-the-counter meds cannot impair driving if taken correctly.,c:All prescribed medicines are always safe for driving.",a,Many over-the-counter and prescription medicines can impair driving; always check labels and consult your doctor or pharmacist.,medium
5,Driving in Special Conditions,Which statement about roadwork zones is true?,"a:You must 'Slow for the Cone Zone.' (reduce speed and be careful in work zones).,b:Fines are the same as normal traffic fines.,c:Only slow down if you see workers present.",a,Slow for Cone Zone safety campaigns: reduce speed and be prepared for changing conditions and workers.,easy
8,Special Situations & Road Users,"After stopping for a school bus that is unloading children, what should you do before proceeding?","a:Watch for children walking along the side of the road.,b:Do not proceed until the children wave to you.,c:Accelerate quickly once the bus stops.",a,"Even after the bus lights are off and the arm is retracted, watch for children who may walk into the roadway before moving on.",easy
2,Traffic Laws & Rules of the Road,"On a short entrance ramp without an acceleration lane, what should you do before entering the interstate?","a:Speed up and enter the interstate only after you have identified a gap in traffic.,b:Immediately enter the far-right traffic lane and speed up to match traffic.,c:Use the shoulder of the main road to get up to the speed of traffic.",a,"When no acceleration lane exists, wait for a safe gap and then accelerate to merge smoothly; do not use the shoulder to accelerate onto the interstate.",medium
4,Safe & Defensive Driving Practices,Any activity that causes you to ____ can lead to a crash.,"a:Take your hands off the wheel,b:Take your attention away from driving,c:Take your eyes off the road",b,"Distractions that take your attention, eyes, or hands away from driving significantly increase crash risk.",easy
2,Traffic Laws & Rules of the Road,You should always travel at what speed?,"a:A speed appropriate for road, weather, and traffic conditions and within legal limits.,b:At the posted maximum no matter the conditions.,c:At the speed of the vehicles immediately surrounding you even if over the limit.",a,Adjust your speed to the conditions; never drive above legal limits and slow down when road or weather conditions are poor.,easy
5,Driving in Special Conditions,"When driving in fog, which headlight setting is best?","a:High beam headlights.,b:Low beam headlights.,c:Four-way flashers.",b,Low beams reduce glare and reflection in fog; high beams reflect and can reduce visibility.,easy
