Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
A flashing red traffic signal means:,Slow down and proceed,Stop completely then proceed when safe,Yield only to pedestrians,Continue without stopping,B,A flashing red light is treated like a stop sign.
A solid yellow line on your side of the road means:,Passing allowed,Passing allowed at night,No passing,Passing only trucks,C,A solid yellow line means no passing from that side.
A flashing yellow traffic signal means:,Stop completely,Proceed with caution,Yield to all traffic,Pedestrians must stop,B,A flashing yellow light warns drivers to slow down and proceed cautiously.
What does a double solid yellow line indicate?,Passing allowed both ways,Passing allowed one way,No passing either direction,Passing during daylight only,C,Double solid yellow lines prohibit passing in both directions.
A green arrow with a red light means:,Stop and wait,Proceed in the arrow’s direction only,Yield to all traffic,Arrow is optional,B,A green arrow allows movement only in the arrow’s direction.
Broken white lane lines indicate:,No lane changes allowed,Lanes moving in opposite directions,Lanes moving in the same direction,Lane ends soon,C,Broken white lines separate lanes going in the same direction.
A steady yellow traffic light means:,Speed up to clear the intersection,Prepare to stop if safe,Stop immediately,Pedestrians may cross,B,A steady yellow light warns that the signal is about to turn red.
What does a solid white line between lanes indicate?,Lane changes encouraged,Lane changes discouraged but allowed,Lane changes prohibited,Lane ends,B,A solid white line discourages lane changes but does not prohibit them.
A red arrow means:,Stop, then turn allowed,No turn permitted,Yield then turn allowed,Arrow only applies to trucks,B,A red arrow means you must stop and may not turn in that direction.
What does a center lane marked with solid yellow on the outside and broken yellow on the inside mean?,Passing lane,Two-way left-turn lane,HOV lane,Emergency lane,B,This marking indicates a two-way left-turn lane.
